,0,1,2
317,"(59, 590)","(69, 40)","(75, 453)"
318,"(33, 248)","(74, 600)","(130, 11)"
319,"(54, 91)","(54, 127)","(55, 454)"
320,"(60, 86)","(83, 112)","(95, 321)"
321,"(29, 112)","(74, 371)","(77, 28)"
322,"(40, 639)","(61, 541)","(64, 180)"
323,"(45, 610)","(46, 612)","(100, 12)"
324,"(34, 157)","(63, 710)","(69, 257)"
325,"(61, 97)","(79, 519)","(96, 54)"
326,"(35, 308)","(104, 465)","(119, 284)"
327,"(50, 64)","(117, 704)","(161, 671)"
328,"(72, 460)","(95, 659)","(131, 626)"
329,"(33, 195)","(43, 616)","(51, 628)"
330,"(64, 315)","(65, 516)","(92, 506)"
331,"(476, 458)","(497, 152)","(525, 403)"
332,"(27, 17)","(44, 583)","(46, 247)"
333,"(25, 59)","(25, 123)","(100, 620)"
334,"(43, 588)","(66, 418)","(67, 22)"
335,"(69, 388)","(98, 463)","(106, 206)"
336,"(58, 81)","(65, 393)","(73, 345)"
337,"(40, 356)","(90, 362)","(95, 358)"
338,"(10, 430)","(24, 488)","(43, 310)"
339,"(33, 696)","(66, 291)","(76, 558)"
340,"(62, 358)","(89, 305)","(120, 682)"
341,"(53, 14)","(68, 109)","(93, 350)"
342,"(55, 497)","(114, 249)","(144, 593)"
343,"(110, 493)","(115, 638)","(157, 89)"
344,"(81, 501)","(94, 241)","(130, 246)"
345,"(30, 282)","(54, 154)","(55, 76)"
346,"(97, 146)","(109, 115)","(127, 562)"
347,"(37, 264)","(59, 173)","(155, 591)"
348,"(19, 121)","(125, 520)","(137, 367)"
349,"(71, 669)","(145, 423)","(157, 71)"
350,"(28, 514)","(56, 284)","(59, 564)"
351,"(56, 461)","(57, 543)","(64, 585)"
352,"(27, 697)","(91, 133)","(107, 148)"
353,"(41, 429)","(101, 275)","(148, 371)"
354,"(37, 159)","(79, 374)","(91, 31)"
355,"(132, 549)","(163, 396)","(172, 706)"
356,"(40, 337)","(93, 363)","(116, 358)"
357,"(72, 693)","(87, 455)","(129, 243)"
358,"(59, 682)","(62, 340)","(95, 305)"
359,"(8, 193)","(28, 585)","(59, 543)"
360,"(14, 574)","(32, 517)","(48, 462)"
361,"(45, 476)","(63, 466)","(71, 579)"
362,"(67, 480)","(77, 718)","(90, 337)"
363,"(93, 356)","(105, 337)","(128, 718)"
364,"(57, 41)","(61, 624)","(94, 291)"
365,"(48, 232)","(71, 35)","(76, 45)"
366,"(146, 438)","(164, 50)","(191, 20)"
367,"(76, 100)","(90, 520)","(119, 121)"
368,"(88, 240)","(130, 36)","(135, 311)"
369,"(60, 151)","(158, 491)","(166, 349)"
370,"(22, 280)","(36, 389)","(45, 134)"
371,"(56, 112)","(74, 321)","(127, 275)"
372,"(25, 408)","(78, 258)","(93, 179)"
373,"(57, 13)","(82, 400)","(88, 108)"
374,"(71, 413)","(79, 354)","(90, 418)"
375,"(46, 530)","(57, 302)","(92, 544)"
376,"(38, 7)","(70, 602)","(127, 555)"
377,"(10, 552)","(56, 302)","(68, 379)"
378,"(57, 3)","(81, 85)","(112, 404)"
379,"(53, 547)","(61, 552)","(68, 377)"
380,"(41, 491)","(46, 473)","(105, 151)"
381,"(78, 599)","(91, 66)","(106, 629)"
382,"(52, 192)","(85, 253)","(102, 96)"
383,"(62, 421)","(103, 48)","(167, 405)"
384,"(56, 426)","(83, 20)","(97, 441)"
385,"(33, 387)","(42, 295)","(68, 450)"
386,"(71, 171)","(172, 595)","(188, 232)"
387,"(22, 295)","(33, 385)","(37, 98)"
388,"(69, 335)","(104, 216)","(120, 206)"
389,"(36, 370)","(57, 280)","(75, 607)"
390,"(51, 312)","(70, 191)","(80, 572)"
391,"(56, 714)","(87, 585)","(89, 193)"
392,"(16, 202)","(43, 215)","(49, 227)"
393,"(25, 81)","(65, 336)","(78, 345)"
394,"(85, 176)","(88, 563)","(90, 474)"
395,"(62, 646)","(90, 267)","(92, 58)"
396,"(52, 706)","(64, 496)","(89, 675)"
397,"(51, 412)","(98, 169)","(98, 634)"
398,"(49, 42)","(135, 290)","(142, 296)"
399,"(61, 189)","(86, 303)","(94, 565)"
400,"(7, 108)","(27, 13)","(67, 592)"
