,address,zipcode,city,state,latitude,longitude,amount
2228,405 East 1st Avenue,80203,Denver,CO,39.718556,-104.982336,594893
2229,2104 Gaylord Street,80205,Denver,CO,39.748421,-104.960647,518339
2230,4699 Kittredge Street,80239,Denver,CO,39.777984,-104.804293,
2231,5015 Shoshone Street,80221,Denver,CO,39.787865,-105.010456,342616
2232,106 West Irvington Place,80223,Denver,CO,39.717216,-104.989489,792461
2233,4344 Xavier Street,80212,Denver,CO,39.775606,-105.049455,441998
2234,2947 Clermont Street,80207,Denver,CO,39.759334,-104.935324,478333
2235,1485 Saint Paul Street,80206,Denver,CO,39.739819,-104.950956,640460
2236,2040 Park Place,80205,Denver,CO,39.748677,-104.962489,823047
2237,2622 West 24th Avenue,80211,Denver,CO,39.752218,-105.020068,590372
2238,485 Zenobia Street,80204,Denver,CO,39.723699,-105.052393,400696
2239,20905 East 40th Avenue,,,,,,
2240,20851 East 40th Avenue,80249,Denver,CO,39.771233,-104.744462,363792
2241,1550 West Maple Avenue,80223,Denver,CO,39.713698,-105.009904,304957
2242,3737 East 1st Avenue,,,,,,
2243,4610 Raleigh Street,80212,Denver,CO,39.780502,-105.041243,772025
2244,4879 N Ceylon Way,,,,,,
2245,2572 South Pennsylvania Street,,,,,,
2246,416 West 4th Avenue,80223,Denver,CO,39.722256,-104.993257,677929
2247,270 Delaware Street,80223,Denver,CO,39.720612,-104.9926,379795
2248,2500 Raleigh Street,80212,Denver,CO,39.754077,-105.041348,527175
2249,2151 Larimer Street,,,,,,
2250,5877 West Marquette Drive,,,,,,
2251,520 Cook Street,80206,Denver,CO,39.72455,-104.947026,
2252,1526 Williams Street,80218,Denver,CO,39.740529,-104.965644,595353
2253,2500 Arapahoe Street,80205,Denver,CO,39.756286,-104.984262,1768291
2254,8524 East 13th Avenue,,,,,,
2255,1501 Wazee Street,80202,Denver,CO,39.750746,-105.001137,
2256,2874 Dahlia Street,,,,,,
2257,3519 Zuni Street,80211,Denver,CO,39.766073,-105.016264,529015
2258,465 Fillmore Street,80206,Denver,CO,39.723819,-104.953777,1783307
2259,3275 Fillmore Street,80205,Denver,CO,39.762321,-104.953983,402651
2260,3541 Locust Street,80207,Denver,CO,39.766491,-104.914403,408044
2261,2762 East 33rd Avenue,,,,,,
2262,3731 Osage Street,80211,Denver,CO,39.768561,-105.005565,687825
2263,3126 West 18th Avenue,80204,Denver,CO,39.744668,-105.027745,
2264,3143 West 26th Avenue,80211,Denver,CO,39.755143,-105.027398,661671
2265,4737 Beach Court,80211,Denver,CO,39.782707,-105.018491,431386
2266,1370 Pennsylvania Street,80203,Denver,CO,39.738042,-104.980727,
2267,2811 West 1st Avenue,80219,Denver,CO,39.718726,-105.02313,341597
2268,5011 Perth Court,,,,,,
2269,1460 High Street,80218,Denver,CO,39.739564,-104.964388,
2270,1607 Gilpin Street,80218,Denver,CO,39.741829,-104.967554,
2271,3432 East Mississippi Avenue,,,,,,
2272,2707 Dexter Street,80222,Denver,CO,39.66818,-104.932827,540892
2273,4575 West Dakota Avenue,80219,Denver,CO,39.70997,-105.046989,429466
2274,625 East 16th Avenue,,,,,,
2275,511 South Stuart Street,80219,Denver,CO,39.707598,-105.04352,316791
2276,5000 Martin Luther King Jr Boulevard,,,,,,
2277,2814 West 25th Avenue,80211,Denver,CO,39.753272,-105.022587,616495
2278,3875 West 6th Avenue South Drive,,,,,,
2279,1385 Quitman Street,80219,Denver,CO,39.691601,-105.041329,307128
2280,7908 East Hampden Avenue,,,,,,
2281,4890 Chase Street,80212,Denver,CO,39.785493,-105.056389,331831
2282,628 Clayton Street,80206,Denver,CO,39.726173,-104.955207,648037
2283,6599 East 38th Avenue,,,,,,
2284,5955 East Alameda Avenue,,,,,,
2285,2631 West 1st Avenue,80219,Denver,CO,39.718612,-105.019353,324531
2286,176 Bryant Street,,,,,,
2287,2550 West 2nd Avenue,,,,,,
2288,3188 West 48th Avenue,,,,,,
2289,3047 Welton Street,80205,Denver,CO,39.758427,-104.973834,
2290,531 South Alcott Street,80219,Denver,CO,39.706661,-105.017229,344216
2291,5201 North Odessa Street,,,,,,
2292,3647 West Arkansas Avenue,,,,,,
2293,1241 York Street,80206,Denver,CO,39.735839,-104.96013,791213
2294,2740 Adams Street,80205,Denver,CO,39.756604,-104.94846,570874
2295,3729 Irving Street,80211,Denver,CO,39.768022,-105.030251,812721
2296,1355 South Niagara Street,,,,,,
2297,3730 Bryant Street,80211,Denver,CO,39.768667,-105.018625,438915
2298,5895 East 30th Avenue,,,,,,
2299,13130 East 55th Avenue,80239,Denver,CO,39.792995,-104.83497,340859
2300,1890 Wynkoop Street,80202,Denver,CO,39.754268,-104.997317,531559
2301,3101 Blake Street,80205,Denver,CO,39.765641,-104.980298,
2302,1325 South Meade Street,80219,Denver,CO,39.692597,-105.035855,356969
2303,3409 Gilpin Street,80205,Denver,CO,39.76478,-104.967423,615812
2304,1280 South Lowell Boulevard,80219,Denver,CO,39.693502,-105.034011,372542
