,address,zipcode,city,state,latitude,longitude,amount
199,2330 Marion Street,80205,Denver,CO,39.751318,-104.971765,919417
200,3830 Williams Street,80205,Denver,CO,39.770634,-104.965566,424324
201,4165 West 4th Avenue,,,,,,
202,4226 East 29th Avenue,,,,,,
203,3109 Stout Street,80205,Denver,CO,39.760257,-104.974799,
204,1840 Race Street,80206,Denver,CO,39.74558,-104.963122,456440
205,3131 West 17th Avenue,80204,Denver,CO,39.744229,-105.027719,610397
206,1114 West 7th Avenue,,,,,,
207,1900 Grant Street,80210,Denver,CO,39.681987,-104.983718,459085
208,330 Santa Fe Drive,80223,Denver,CO,39.721602,-104.998285,558502
209,2001 Grove Street,80211,Denver,CO,39.747786,-105.027119,393514
210,4576 Elm Court,80211,Denver,CO,39.779783,-105.0225,456705
211,2261 Broadway,,,,,,
212,3547 Steele Street,,,,,,
213,6074 East Exposition Avenue,,,,,,
214,1018 Dahlia Street,,,,,,
215,4180 Xavier Street,80212,Denver,CO,39.774427,-105.049451,821354
216,1444 South Vrain Way,,,,,,
217,678 South Gilpin Street,,,,,,
218,2730 West Florida Avenue,80219,Denver,CO,39.689245,-105.021036,345859
219,2023 Eliot Street,80211,Denver,CO,39.748191,-105.023935,559722
220,3174 West 10th Avenue,,,,,,
221,2737 West Bayaud Avenue,80219,Denver,CO,39.715066,-105.021499,336118
222,3632 Williams Street,80205,Denver,CO,39.76756,-104.965629,379866
223,2200 Tremont Place,80205,Denver,CO,39.748956,-104.98186,592614
224,2927 Adams Street,,,,,,
225,859 Emerson Street,80218,Denver,CO,39.730155,-104.976738,943310
226,1802 West 39th Avenue,80211,Denver,CO,39.770259,-105.008282,690707
227,2904 West 24th Avenue,80211,Denver,CO,39.752139,-105.023787,553717
228,405 East 1st Avenue,80203,Denver,CO,39.718556,-104.982336,594893
229,2104 Gaylord Street,80205,Denver,CO,39.748421,-104.960647,518339
230,4699 Kittredge Street,80239,Denver,CO,39.777984,-104.804293,
231,5015 Shoshone Street,80221,Denver,CO,39.787865,-105.010456,342616
232,106 West Irvington Place,80223,Denver,CO,39.717216,-104.989489,792461
233,4344 Xavier Street,80212,Denver,CO,39.775606,-105.049455,441998
234,2947 Clermont Street,80207,Denver,CO,39.759334,-104.935324,478333
235,1485 Saint Paul Street,80206,Denver,CO,39.739819,-104.950956,640460
236,2040 Park Place,80205,Denver,CO,39.748677,-104.962489,823047
237,2622 West 24th Avenue,80211,Denver,CO,39.752218,-105.020068,590372
238,485 Zenobia Street,80204,Denver,CO,39.723699,-105.052393,400696
239,20905 East 40th Avenue,,,,,,
240,20851 East 40th Avenue,80249,Denver,CO,39.771233,-104.744462,363792
241,1550 West Maple Avenue,80223,Denver,CO,39.713698,-105.009904,304957
242,3737 East 1st Avenue,,,,,,
243,4610 Raleigh Street,80212,Denver,CO,39.780502,-105.041243,772025
244,4879 N Ceylon Way,,,,,,
245,2572 South Pennsylvania Street,,,,,,
246,416 West 4th Avenue,80223,Denver,CO,39.722256,-104.993257,677929
247,270 Delaware Street,80223,Denver,CO,39.720612,-104.9926,379795
248,2500 Raleigh Street,80212,Denver,CO,39.754077,-105.041348,527175
249,2151 Larimer Street,,,,,,
250,5877 West Marquette Drive,,,,,,
251,520 Cook Street,80206,Denver,CO,39.72455,-104.947026,
252,1526 Williams Street,80218,Denver,CO,39.740529,-104.965644,595353
253,2500 Arapahoe Street,80205,Denver,CO,39.756286,-104.984262,1768291
254,8524 East 13th Avenue,,,,,,
255,1501 Wazee Street,80202,Denver,CO,39.750746,-105.001137,
256,2874 Dahlia Street,,,,,,
257,3519 Zuni Street,80211,Denver,CO,39.766073,-105.016264,529015
258,465 Fillmore Street,80206,Denver,CO,39.723819,-104.953777,1783307
259,3275 Fillmore Street,80205,Denver,CO,39.762321,-104.953983,402651
260,3541 Locust Street,80207,Denver,CO,39.766491,-104.914403,408044
261,2762 East 33rd Avenue,,,,,,
262,3731 Osage Street,80211,Denver,CO,39.768561,-105.005565,687825
263,3126 West 18th Avenue,80204,Denver,CO,39.744668,-105.027745,
264,3143 West 26th Avenue,80211,Denver,CO,39.755143,-105.027398,661671
265,4737 Beach Court,80211,Denver,CO,39.782707,-105.018491,431386
266,1370 Pennsylvania Street,80203,Denver,CO,39.738042,-104.980727,
267,2811 West 1st Avenue,80219,Denver,CO,39.718726,-105.02313,341597
268,5011 Perth Court,,,,,,
269,1460 High Street,80218,Denver,CO,39.739564,-104.964388,
270,1607 Gilpin Street,80218,Denver,CO,39.741829,-104.967554,
271,3432 East Mississippi Avenue,,,,,,
272,2707 Dexter Street,80222,Denver,CO,39.66818,-104.932827,540892
273,4575 West Dakota Avenue,80219,Denver,CO,39.70997,-105.046989,429466
274,625 East 16th Avenue,,,,,,
275,511 South Stuart Street,80219,Denver,CO,39.707598,-105.04352,316791
276,5000 Martin Luther King Jr Boulevard,,,,,,
277,2814 West 25th Avenue,80211,Denver,CO,39.753272,-105.022587,616495
278,3875 West 6th Avenue South Drive,,,,,,
279,1385 Quitman Street,80219,Denver,CO,39.691601,-105.041329,307128
280,7908 East Hampden Avenue,,,,,,
281,4890 Chase Street,80212,Denver,CO,39.785493,-105.056389,331831
282,628 Clayton Street,80206,Denver,CO,39.726173,-104.955207,648037
283,6599 East 38th Avenue,,,,,,
284,5955 East Alameda Avenue,,,,,,
285,2631 West 1st Avenue,80219,Denver,CO,39.718612,-105.019353,324531
286,176 Bryant Street,,,,,,
287,2550 West 2nd Avenue,,,,,,
288,3188 West 48th Avenue,,,,,,
289,3047 Welton Street,80205,Denver,CO,39.758427,-104.973834,
